ds,y_hat,y_lower,y_upper,y
2015.12.04,1.09387,1.09554,1.08353,1.08761
2015.12.07,1.08706,1.08868,1.07952,1.08363
2015.12.08,1.08364,1.09018,1.08293,1.08906
2015.12.09,1.08911,1.10423,1.08785,1.10243
2015.12.10,1.10244,1.10244,1.09243,1.09396
2015.12.11,1.09397,1.10304,1.09257,1.09919
2015.12.14,1.09828,1.10479,1.09448,1.09904
2015.12.15,1.09904,1.10589,1.09039,1.09274
2015.12.16,1.09290,1.10112,1.08872,1.09104
2015.12.17,1.09104,1.09132,1.08018,1.08248
2015.12.18,1.08249,1.08738,1.08041,1.08665
2015.12.21,1.08514,1.09382,1.08457,1.09140
2015.12.22,1.09138,1.09833,1.09016,1.09556
2015.12.23,1.09557,1.09564,1.08690,1.09090
2015.12.24,1.09087,1.09671,1.09027,1.09494
2015.12.28,1.09502,1.09917,1.09480,1.09660
2015.12.29,1.09661,1.09909,1.08983,1.09186
2015.12.30,1.09186,1.09430,1.09010,1.09309
2015.12.31,1.09310,1.09363,1.08521,1.08601
2016.01.04,1.08712,1.09457,1.07803,1.08301
2016.01.05,1.08295,1.08380,1.07099,1.07475
2016.01.06,1.07471,1.07989,1.07132,1.07800
2016.01.07,1.07801,1.09394,1.07703,1.09311
2016.01.08,1.09316,1.09329,1.08024,1.09249
2016.01.11,1.09173,1.09685,1.08472,1.08581
2016.01.12,1.08581,1.08995,1.08189,1.08570
2016.01.13,1.08571,1.08869,1.08041,1.08759
2016.01.14,1.08760,1.09423,1.08338,1.08643
2016.01.15,1.08642,1.09839,1.08538,1.09123
2016.01.18,1.09208,1.09270,1.08681,1.08908
2016.01.19,1.08908,1.09381,1.08586,1.09061
2016.01.20,1.09061,1.09752,1.08764,1.08874
2016.01.21,1.08880,1.09204,1.07770,1.08721
2016.01.22,1.08721,1.08758,1.07884,1.07957
2016.01.25,1.07904,1.08561,1.07884,1.08488
2016.01.26,1.08487,1.08736,1.08180,1.08665
2016.01.27,1.08698,1.09157,1.08498,1.08923
2016.01.28,1.08922,1.09668,1.08689,1.09391
2016.01.29,1.09390,1.09479,1.08092,1.08299
2016.02.01,1.08306,1.09120,1.08138,1.08871
2016.02.02,1.08863,1.09392,1.08842,1.09176
2016.02.03,1.09176,1.11448,1.09029,1.11043
2016.02.04,1.11044,1.12380,1.10688,1.12071
2016.02.05,1.12073,1.12464,1.11080,1.11571
2016.02.08,1.11413,1.12151,1.10858,1.11918
2016.02.09,1.11917,1.13375,1.11616,1.12918
2016.02.10,1.12922,1.13107,1.11596,1.12908
2016.02.11,1.12913,1.13757,1.12731,1.13234
2016.02.12,1.13234,1.13330,1.12133,1.12530
2016.02.15,1.12331,1.12492,1.11272,1.11531
2016.02.16,1.11533,1.11923,1.11235,1.11430
2016.02.17,1.11426,1.11783,1.11051,1.11271
2016.02.18,1.11272,1.11488,1.10702,1.11066
2016.02.19,1.11054,1.11385,1.10659,1.11287
